Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
257040,Ambrym,22430,Confirmed Eruption,Vanuatu,,,2022,,1,,25,,Historical Observations,>,2022,,1,,27,,-16.25,168.12
353020,Wolf,22431,Confirmed Eruption,Ecuador,,,2022,,1,,6,,Historical Observations,>,2022,,1,,27,,0.02,-91.35
233020,"Fournaise, Piton de la",22396,Confirmed Eruption,France,,,2021,,12,,22,,Historical Observations,,2022,,1,,17,,-21.244,55.708
243040,Hunga Tonga-Hunga Ha'apai,22429,Confirmed Eruption,Tonga,,,2021,,12,,20,,Historical Observations,,2022,,1,,15,,-20.536,-175.382
257030,Ambae,22420,Confirmed Eruption,Vanuatu,,,2021,,12,,5,,Historical Observations,>,2022,,1,,27,,-15.389,167.835
273083,Pinatubo,22423,Confirmed Eruption,Philippines,,,2021,,11,,30,,Historical Observations,,2021,,11,,30,,15.13,120.35
264250,Iliwerung,22421,Confirmed Eruption,Indonesia,,,2021,,11,,28,,Historical Observations,,2021,,11,,29,,-8.532,123.573
273070,Taal,22427,Confirmed Eruption,Philippines,,,2021,,11,,15,,Historical Observations,,2021,,11,,22,,14.002,120.993
345070,Turrialba,22425,Confirmed Eruption,Costa Rica,,,2021,,11,,3,,Historical Observations,>,2022,,1,,27,,10.025,-83.767
282110,Asosan,22424,Confirmed Eruption,Japan,,,2021,,10,,14,,Historical Observations,,2021,,10,,20,,32.884,131.104
255060,Kavachi,22419,Confirmed Eruption,Solomon Islands,,,2021,,10,,2,,Historical Observations,,2021,,11,,26,,-8.991,157.979
332010,Kilauea,22416,Confirmed Eruption,United States,,,2021,,9,,29,,Historical Observations,>,2022,,1,,27,,19.421,-155.287
383010,La Palma,22417,Confirmed Eruption,Spain,,,2021,,9,,19,,Historical Observations,,2021,,12,,15,,28.57,-17.83
284096,Nishinoshima,22407,Confirmed Eruption,Japan,,,2021,,8,,14,,Historical Observations,,2021,,8,,15,,27.247,140.874
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,Japan,,,2021,,8,,13,,Historical Observations,,2021,,9,?,12,,24.285,141.481
290260,Chirinkotan,22410,Confirmed Eruption,Russia,,,2021,,8,,8,,Historical Observations,,2021,,8,,26,,48.98,153.48
312030,Pavlof,22411,Confirmed Eruption,United States,,,2021,,8,,5,,Historical Observations,>,2022,,1,,27,,55.417,-161.894
284170,Pagan,22409,Confirmed Eruption,United States,,,2021,,7,,29,,Historical Observations,,2021,,9,,6,,18.13,145.8
264270,Sirung,22405,Confirmed Eruption,Indonesia,,,2021,,7,,21,,Historical Observations,,2021,,7,,21,,-8.508,124.13
252120,Ulawun,22414,Confirmed Eruption,Papua New Guinea,,,2021,,7,,9,,Historical Observations,,2021,,11,,29,,-5.05,151.33
273070,Taal,22406,Confirmed Eruption,Philippines,,,2021,,7,,1,,Historical Observations,,2021,,7,,9,,14.002,120.993
345020,Rincon de la Vieja,22412,Confirmed Eruption,Costa Rica,,,2021,,6,,28,,Historical Observations,>,2022,,1,,27,,10.83,-85.324
345070,Turrialba,22403,Confirmed Eruption,Costa Rica,,,2021,,6,,13,,Historical Observations,,2021,,7,,23,,10.025,-83.767
262000,Krakatau,22426,Confirmed Eruption,Indonesia,,,2021,,5,,25,,Historical Observations,,2021,,11,,7,,-6.102,105.423
311120,Great Sitkin,22401,Confirmed Eruption,United States,,,2021,,5,,25,,Historical Observations,>,2022,,1,,27,,52.076,-176.13
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,Indonesia,,,2021,,4,,29,,Historical Observations,,2021,,4,,29,,-7.2,109.879
344040,Telica,22402,Confirmed Eruption,Nicaragua,,,2021,,4,,21,,Historical Observations,>,2022,,1,,27,,12.606,-86.84
263310,Tengger Caldera,22404,Confirmed Eruption,Indonesia,,,2021,,4,,15,,Historical Observations,,2021,,10,,14,,-7.942,112.95
233020,"Fournaise, Piton de la",22395,Confirmed Eruption,France,,,2021,,4,,9,,Historical Observations,,2021,,5,,24,,-21.244,55.708
371030,Krysuvik-Trolladyngja,22399,Confirmed Eruption,Iceland,,,2021,,3,,19,,Historical Observations,,2021,,9,,18,,63.917,-22.067
312070,Veniaminof,22393,Confirmed Eruption,United States,,,2021,,2,,28,,Historical Observations,,2021,,4,,5,,56.17,-159.38
311060,Semisopochnoi,22392,Confirmed Eruption,United States,,,2021,,2,,2,2,Historical Observations,>,2022,,1,,27,,51.93,179.58
263340,Raung,22383,Confirmed Eruption,Indonesia,,,2021,,1,,21,,Historical Observations,,2021,,4,,14,,-8.119,114.056
263250,Merapi,22381,Confirmed Eruption,Indonesia,1,,2020,,12,,31,,Historical Observations,>,2022,,1,,27,,-7.54,110.446
360150,Soufriere St. Vincent,22385,Confirmed Eruption,Saint Vincent and the Grenadines,4,,2020,,12,,27,,Historical Observations,,2021,,4,,22,,13.33,-61.18
344020,San Cristobal,22394,Confirmed Eruption,Nicaragua,3,,2020,,12,?,27,,Historical Observations,>,2022,,1,,27,,12.702,-87.004
263310,Tengger Caldera,22382,Confirmed Eruption,Indonesia,1,,2020,,12,,26,,Historical Observations,,2020,,12,,28,,-7.942,112.95
332010,Kilauea,22380,Confirmed Eruption,United States,0,,2020,,12,,20,,Historical Observations,,2021,,5,,23,,19.421,-155.287
233020,"Fournaise, Piton de la",22371,Confirmed Eruption,France,0,,2020,,12,,7,,Historical Observations,,2020,,12,,8,,-21.244,55.708
264230,Lewotolok,22373,Confirmed Eruption,Indonesia,2,,2020,,11,,27,,Historical Observations,>,2022,,1,,27,,-8.274,123.508
282060,Kikai,22374,Confirmed Eruption,Japan,1,,2020,,10,,6,,Historical Observations,,2020,,10,,6,,30.793,130.305
255060,Kavachi,22364,Confirmed Eruption,Solomon Islands,0,,2020,,9,,2,,Historical Observations,,2021,,4,,10,,-8.991,157.979
282050,Kuchinoerabujima,22391,Confirmed Eruption,Japan,1,,2020,,8,,29,,Historical Observations,,2020,,8,,29,,30.443,130.217
261080,Sinabung,22365,Confirmed Eruption,Indonesia,3,,2020,,8,,8,,Historical Observations,,2021,,9,,23,,3.17,98.392
344040,Telica,22368,Confirmed Eruption,Nicaragua,1,,2020,,7,,20,,Historical Observations,,2020,,12,,9,,12.606,-86.84
263340,Raung,22367,Confirmed Eruption,Indonesia,1,,2020,,7,,16,,Historical Observations,,2020,,10,,3,,-8.119,114.056
345070,Turrialba,22369,Confirmed Eruption,Costa Rica,1,,2020,,6,,18,,Historical Observations,,2020,,8,,24,,10.025,-83.767
311240,Cleveland,22361,Confirmed Eruption,United States,3,,2020,,6,,1,,Historical Observations,,2020,,6,,1,,52.825,-169.944
282060,Kikai,22359,Confirmed Eruption,Japan,1,,2020,,4,,29,,Historical Observations,,2020,,4,,29,,30.793,130.305
300130,Karymsky,22360,Confirmed Eruption,Russia,3,,2020,,4,,1,,Historical Observations,>,2022,,1,,27,,54.049,159.443
266030,Soputan,22354,Confirmed Eruption,Indonesia,2,,2020,,3,,23,,Historical Observations,,2020,,4,,2,,1.112,124.737
255060,Kavachi,22357,Confirmed Eruption,Solomon Islands,0,,2020,,3,,16,,Historical Observations,,2020,,4,,30,,-8.991,157.979
290240,Sarychev Peak,22384,Confirmed Eruption,Russia,1,,2020,,2,,29,1,Historical Observations,,2021,,11,,26,,48.092,153.2
343100,San Miguel,22355,Confirmed Eruption,El Salvador,1,,2020,,2,,22,,Historical Observations,,2020,,2,,22,,13.434,-88.269
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,France,0,,2020,,2,,10,,Historical Observations,,2020,,4,,6,,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,Costa Rica,2,,2020,,1,,30,,Historical Observations,,2020,,12,,13,,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,Ecuador,0,,2020,,1,,12,,Historical Observations,,2020,,1,,13,,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,Philippines,4,,2020,,1,,12,,Historical Observations,,2020,,1,,22,,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,Japan,3,,2020,,1,,11,,Historical Observations,,2020,,5,,13,,30.443,130.217
241040,Whakaari/White Island,22338,Confirmed Eruption,New Zealand,2,,2019,,12,,9,,Historical Observations,,2019,,12,,9,,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,United States,1,,2019,,12,,7,,Historical Observations,,2020,,6,,19,,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,Japan,1,,2019,,12,,5,,Historical Observations,,2020,,8,,27,,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,United States,,,2019,,11,,7,,Historical Observations,,2019,,12,?,7,,52.825,-169.944
282060,Kikai,22339,Confirmed Eruption,Japan,2,,2019,,11,,2,,Historical Observations,,2019,,11,,2,,30.793,130.305
243070,Lateiki,22334,Confirmed Eruption,Tonga,1,,2019,,10,,13,,Historical Observations,,2019,,10,,22,,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,Japan,2,,2019,,8,,7,,Historical Observations,,2019,,8,,25,,36.406,138.523
263090,Tangkuban Parahu,22325,Confirmed Eruption,Indonesia,1,,2019,,7,,26,,Historical Observations,,2019,,9,,17,,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,United States,3,,2019,,7,,23,,Historical Observations,,2020,,5,,4,,54.756,-163.97
311060,Semisopochnoi,22328,Confirmed Eruption,United States,1,,2019,,7,,16,,Historical Observations,,2019,,8,,24,,51.93,179.58
