Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty
257040,Ambrym,22430,Confirmed Eruption,Vanuatu,,,2022,,1,,25,,Historical Observations,>,2022,,1,,27,
353020,Wolf,22431,Confirmed Eruption,Ecuador,,,2022,,1,,6,,Historical Observations,>,2022,,1,,27,
233020,"Fournaise, Piton de la",22396,Confirmed Eruption,France,,,2021,,12,,22,,Historical Observations,,2022,,1,,17,
243040,Hunga Tonga-Hunga Ha'apai,22429,Confirmed Eruption,Tonga,,,2021,,12,,20,,Historical Observations,,2022,,1,,15,
257030,Ambae,22420,Confirmed Eruption,Vanuatu,,,2021,,12,,5,,Historical Observations,>,2022,,1,,27,
273083,Pinatubo,22423,Confirmed Eruption,Philippines,,,2021,,11,,30,,Historical Observations,,2021,,11,,30,
264250,Iliwerung,22421,Confirmed Eruption,Indonesia,,,2021,,11,,28,,Historical Observations,,2021,,11,,29,
273070,Taal,22427,Confirmed Eruption,Philippines,,,2021,,11,,15,,Historical Observations,,2021,,11,,22,
345070,Turrialba,22425,Confirmed Eruption,Costa Rica,,,2021,,11,,3,,Historical Observations,>,2022,,1,,27,
282110,Asosan,22424,Confirmed Eruption,Japan,,,2021,,10,,14,,Historical Observations,,2021,,10,,20,
255060,Kavachi,22419,Confirmed Eruption,Solomon Islands,,,2021,,10,,2,,Historical Observations,,2021,,11,,26,
332010,Kilauea,22416,Confirmed Eruption,United States,,,2021,,9,,29,,Historical Observations,>,2022,,1,,27,
383010,La Palma,22417,Confirmed Eruption,Spain,,,2021,,9,,19,,Historical Observations,,2021,,12,,15,
284096,Nishinoshima,22407,Confirmed Eruption,Japan,,,2021,,8,,14,,Historical Observations,,2021,,8,,15,
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,Japan,,,2021,,8,,13,,Historical Observations,,2021,,9,?,12,
290260,Chirinkotan,22410,Confirmed Eruption,Russia,,,2021,,8,,8,,Historical Observations,,2021,,8,,26,
312030,Pavlof,22411,Confirmed Eruption,United States,,,2021,,8,,5,,Historical Observations,>,2022,,1,,27,
284170,Pagan,22409,Confirmed Eruption,United States,,,2021,,7,,29,,Historical Observations,,2021,,9,,6,
264270,Sirung,22405,Confirmed Eruption,Indonesia,,,2021,,7,,21,,Historical Observations,,2021,,7,,21,
252120,Ulawun,22414,Confirmed Eruption,Papua New Guinea,,,2021,,7,,9,,Historical Observations,,2021,,11,,29,
273070,Taal,22406,Confirmed Eruption,Philippines,,,2021,,7,,1,,Historical Observations,,2021,,7,,9,
345020,Rincon de la Vieja,22412,Confirmed Eruption,Costa Rica,,,2021,,6,,28,,Historical Observations,>,2022,,1,,27,
345070,Turrialba,22403,Confirmed Eruption,Costa Rica,,,2021,,6,,13,,Historical Observations,,2021,,7,,23,
262000,Krakatau,22426,Confirmed Eruption,Indonesia,,,2021,,5,,25,,Historical Observations,,2021,,11,,7,
311120,Great Sitkin,22401,Confirmed Eruption,United States,,,2021,,5,,25,,Historical Observations,>,2022,,1,,27,
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,Indonesia,,,2021,,4,,29,,Historical Observations,,2021,,4,,29,
344040,Telica,22402,Confirmed Eruption,Nicaragua,,,2021,,4,,21,,Historical Observations,>,2022,,1,,27,
263310,Tengger Caldera,22404,Confirmed Eruption,Indonesia,,,2021,,4,,15,,Historical Observations,,2021,,10,,14,
233020,"Fournaise, Piton de la",22395,Confirmed Eruption,France,,,2021,,4,,9,,Historical Observations,,2021,,5,,24,
371030,Krysuvik-Trolladyngja,22399,Confirmed Eruption,Iceland,,,2021,,3,,19,,Historical Observations,,2021,,9,,18,
312070,Veniaminof,22393,Confirmed Eruption,United States,,,2021,,2,,28,,Historical Observations,,2021,,4,,5,
311060,Semisopochnoi,22392,Confirmed Eruption,United States,,,2021,,2,,2,2,Historical Observations,>,2022,,1,,27,
263340,Raung,22383,Confirmed Eruption,Indonesia,,,2021,,1,,21,,Historical Observations,,2021,,4,,14,
263250,Merapi,22381,Confirmed Eruption,Indonesia,1,,2020,,12,,31,,Historical Observations,>,2022,,1,,27,
360150,Soufriere St. Vincent,22385,Confirmed Eruption,Saint Vincent and the Grenadines,4,,2020,,12,,27,,Historical Observations,,2021,,4,,22,
344020,San Cristobal,22394,Confirmed Eruption,Nicaragua,3,,2020,,12,?,27,,Historical Observations,>,2022,,1,,27,
263310,Tengger Caldera,22382,Confirmed Eruption,Indonesia,1,,2020,,12,,26,,Historical Observations,,2020,,12,,28,
332010,Kilauea,22380,Confirmed Eruption,United States,0,,2020,,12,,20,,Historical Observations,,2021,,5,,23,
233020,"Fournaise, Piton de la",22371,Confirmed Eruption,France,0,,2020,,12,,7,,Historical Observations,,2020,,12,,8,
