NUMBER,NAME,TYPE,LAST_ERUPTION,COUNTRY,ISO3,LATITUDE,LONGITUDE,ELECVATION,Evidence Category,POP_5,POP_10,POP_3-,POP_100,ERUPTIONS
283001,Abu,Shield(s),-6850,Japan, JPN,34.5,131.6,641,Eruption Dated,3597,9594,117805,4071152,0
355096,Acamarachi,Stratovolcano,Unknown,Chile, CHL,-23.292,-67.618,6023,Evidence Credible,0,7,294,9092,0
342080,Acatenango,Stratovolcano(es),1972,Guatemala, GTM,14.501,-90.876,3976,Eruption Observed,4329,60730,1042836,7634778,5
213004,Acigol-Nevsehir,Caldera,-2080,Turkey, TUR,38.537,34.621,1683,Eruption Dated,127863,127863,218469,2253483,0
321040,Adams,Stratovolcano,950,United States, USA,46.206,-121.49,3742,Eruption Dated,0,70,4019,393303,2
283170,Adatarayama,Stratovolcano(es),1996,Japan, JPN,37.647,140.281,1728,Eruption Observed,428,3936,717078,5024654,5
221170,Adwa,Stratovolcano,Unknown,Ethiopia, ETH,10.063,40.831,1670,Evidence Credible,101,485,18645,1242922,2
221110,Afdera,Stratovolcano,Unknown,Ethiopia, ETH,13.088,40.853,1250,Evidence Uncertain,51,6042,8611,161009,0
284160,Agrigan,Stratovolcano,1917,United States, USA,18.77,145.67,965,Eruption Observed,0,0,0,0,1
342100,Agua,Stratovolcano,Unknown,Guatemala, GTM,14.465,-90.743,3760,Evidence Credible,9890,114404,2530449,7441660,1
382090,Agua de Pau,Stratovolcano,1564,Portugal, PRT,37.77,-25.47,947,Eruption Observed,406,17272,113131,119653,4
358062,Aguilera,Stratovolcano,-1250,Chile, CHL,-50.33,-73.75,2546,Eruption Dated,0,0,103,5698,0
264020,Agung,Stratovolcano,2019,Indonesia, IDN,-8.343,115.508,2997,Eruption Observed,5657,76781,968381,4550176,5
284141,Ahyi,Submarine,2014,United States, USA,20.42,145.03,-75,Eruption Dated,0,0,0,0,3
282080,Aira,Caldera,2022,Japan, JPN,31.593,130.657,1117,Eruption Observed,4918,113874,905254,2610033,42
300125,Akademia Nauk,Stratovolcano(es),1996,Russia, RUS,53.98,159.45,1180,Eruption Observed,3,3,615,12484,1
283130,Akagisan,Stratovolcano,Unknown,Japan, JPN,36.56,139.193,1828,Evidence Uncertain,961,4538,1116366,16718375,2
285070,Akan,Caldera,2008,Japan, JPN,43.384,144.013,1499,Eruption Observed,2062,2062,9756,929538,28
283069,Akandanayama,Stratovolcano,Unknown,Japan, JPN,36.2,137.573,2109,Evidence Credible,0,0,0,0,0
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan, JPN,39.761,140.799,1637,Eruption Observed,376,3864,216708,2521611,7
283260,Akita-Yakeyama,Stratovolcano,1997,Japan, JPN,39.964,140.757,1366,Eruption Observed,127,721,55493,3122037,15
282022,Akusekijima,Stratovolcano(es),Unknown,Japan, JPN,29.465,129.594,555,Evidence Uncertain,52,52,199,749,0
311320,Akutan,Stratovolcano,1992,United States, USA,54.134,-165.986,1303,Eruption Observed,0,24,233,4361,45
290390,Alaid,Stratovolcano,2018,Russia, RUS,50.861,155.565,2285,Eruption Observed,0,64,64,2887,16
284180,Alamagan,Stratovolcano,870,United States, USA,17.6,145.83,744,Eruption Dated,0,0,0,0,4
221112,Alayta,Shield,1915,Ethiopia, ETH,12.888,40.573,1496,Eruption Observed,156,925,13459,330411,2
